#Nº Operación,Fase,Data,Importe,Saldo,Exercicio,Orgánica,Programa,Económica,Terceiro,Nome Ter.,Texto Libre,C.Xestor,Forma de Pago
220141003244,R,2014-06-02,14521.03,14521.03,2003,,934,35900,Anonimizado,Anonimizado,Anonimizado,-,11 - Organismos
220141003200,R,2014-04-30,0.89,0.89,2009,,13300,22701,A28958247,SETEX-APARKI SA,DEBEDA HISTORICA SEGUN ACORDO DE XUNTA GOBERNO DE 4-8-2009 - SALDO AO SEU FAVOR (RESOLUCIÓN 30-12-2013),-,03 - Transferencia Bancaria
220141003368,R,2014-12-18,6000,6000,2009,,44100,45000,S1511001H,XUNTA DE GALICIA,DESENVOLVEMENTO ACTUACIÓNS DE FOMENTO DO TRANSPORTE PUBLICO NA AREA METROPOLITANA DE SANTIAGO ANO 2009.COMPENSACIÓN 88,-,03 - Transferencia Bancaria
220141003369,R,2014-12-18,6159,6159,2010,,44100,45000,S1511001H,XUNTA DE GALICIA,"ANUALIDADE 2010 CONVENIO COA CONSELLERIA POLITICA TERRITORIAL,TRANSPORTES S/TRANSPORTE METROPOLITANO COMPENSACIÓN Nº 88/",-,03 - Transferencia Bancaria
220141001750,R,2014-02-11,95.59,95.59,2011,080,15900,60000,Anonimizado,Anonimizado,Anonimizado,-,05 - Efectivo
220141001750,R,2014-02-11,35.72,35.72,2011,100,93400,35900,Anonimizado,Anonimizado,Anonimizado,-,05 - Efectivo
220141003371,R,2014-12-18,35162,35162,2011,030,44100,45000,S1511001H,XUNTA DE GALICIA,TRANSPORTE METROPOLITANO. ANO 2011 COMPENSACIÓN Nº 88/2014,-,03 - Transferencia Bancaria
220141000004,R,2014-01-03,10500,10500,2013,050,33300,48902,G15520422,FUNDACION EUGENIO GRANELL,MENSUALIDADE DO MES DE DECEMBRO DO CONVENIO COA FUNDACIÓN PARA O ANO 2013,-,03 - Transferencia Bancaria
220141000005,R,2014-01-03,5470.36,5470.36,2013,100,92000,22604,S1500073J,JUZGADO CONTENCIOSO ADMINISTRATIVO Nº2 DE SANTIAGO,3445000085005611 CUSTAS EXECUCION DEFINITIVA PROCEDEMENTO 0000056/2011 PROCEDEMENTO ORDINARIO 0000141/2009-R,-,03 - Transferencia Bancaria
220141000006,R,2014-01-03,25861.01,25861.01,2013,030,93400,35900,S1500073J,JUZGADO CONTENCIOSO ADMINISTRATIVO Nº2 DE SANTIAGO,3445000085000213 XUROS EXECUCION DEFINITIVA PROCEDEMENTO 0000002/2013 PROCEDEMENTO ORDINARIO 0000245/2012,-,03 - Transferencia Bancaria
